,comparison,diff,diffpct,pctrelative,pvalue
0,rr > nn,0.10194464906731339,0.21160757893980253,rr,3.581113935600186e-300
1,rr: off > on,0.05267451871113449,0.11653966859626654,on,0.0003341996160335743
2,tcfnn: off > on,0.06945049285231614,0.20347743621063807,on,5.939496485236686e-07
3,rr: off > mix,0.042361712840099985,0.08394069431804292,off,0.00023628714727001748
4,tcfnn: off > mix,0.0581256545130322,0.14150468826870738,off,8.817996629664777e-08
5,rr: mix > on,0.010312805871034503,0.022816553580658386,on,0.24732378390532112
6,tcfnn: mix > on,0.011324838339283938,0.03317973676122857,on,0.20545296841194016
7,rr on > tcfnn off,0.0412194874416712,0.0911959999578489,rr on,0.002114870762209892
8,nn: short v full,-0.05185754866409381,-0.12778644404346556,full,1.834266260242356e-15
9,rr: short v full,-0.031881875943861854,-0.06446107249106987,full,4.449453993256915e-15
